	(1)	(2)	(3)	(4)
VARIABLES	lnhwage	lnhwage	lnhwage	lnhwage
				
c7	0.114***	0.114***	0.109***	0.109***
	(5.171)	(5.171)	(5.844)	(5.967)
exp	0.0626***	0.0626***	0.0665***	0.0665***
	(7.096)	(7.096)	(6.924)	(6.964)
exp2	-0.00133***	-0.00133***	-0.00145***	-0.00145***
	(-6.584)	(-6.584)	(-6.132)	(-6.191)
gender	0.0314	0.0314	0.0319	0.0319
	(0.895)	(0.895)	(0.925)	(0.927)
marital	0.0578	0.0578	0.0582	0.0582
	(1.109)	(1.109)	(1.291)	(1.293)
lang	0.0117	0.0117	0.00799	0.00799
	(0.686)	(0.686)	(0.463)	(0.464)
SecDum1	-0.00129	-0.00129	-0.0261	-0.0261
	(-0.0122)	(-0.0122)	(-0.257)	(-0.255)
SecDum2	0.0565	0.0565	0.0236	0.0236
	(0.795)	(0.795)	(0.337)	(0.338)
SecDum3	-0.0917*	-0.0917*	-0.109*	-0.109*
	(-1.767)	(-1.767)	(-1.936)	(-1.943)
Owndum1	0.184***	0.184***	0.191***	0.191***
	(3.665)	(3.665)	(3.551)	(3.564)
Owndum2	-0.00587	-0.00587	0.000128	0.000128
	(-0.0967)	(-0.0967)	(0.00184)	(0.00185)
Owndum3	0.239***	0.239***	0.238***	0.238***
	(3.915)	(3.915)	(3.972)	(3.971)
Owndum4	0.0858	0.0858	0.0900	0.0900
	(1.362)	(1.362)	(1.352)	(1.356)
dalian	0.746***	0.746***	0.762***	0.762***
	(16.01)	(16.01)	(16.81)	(16.89)
Constant	-0.106	-0.106	-0.0376	-0.0376
	(-0.320)	(-0.320)	(-0.129)	(-0.132)
				
Observations	783	783	783	783
R-squared	0.497	0.497	0.497	0.497
z-statistics in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
